id,title,estado,img_actual_fname,match_nombre,match_img_fname,match_url,match_score
15509745303939,FARMINA TREAT VET LIFE DOG GASTRO INTESTINAL MED/M 15X110GR,REVISAR,vetlife_15509745303939_oficial.jpg,Intestinal UltraCare low Fat canine,1126_25_intestinal-ultracare-low-fat-canine.png,https://www.farmina.com/fotoprodotti/1126_25_intestinal-ultracare-low-fat-canine.png,0.14
15509745402243,FARMINA TREAT VET LIFE DOG GASTRO INTESTINAL MINI 15X60GR,REVISAR,vetlife_15509745402243_oficial.jpg,dental treat Gastrointestinlal mini,1095_06_vetlife-dental-treat-gastrointestinal-mini.png,https://www.farmina.com/fotoprodotti/1095_06_vetlife-dental-treat-gastrointestinal-mini.png,0.17
15509745467779,FARMINA TREAT VET LIFE DOG HYPO CERDO ADULT MED/MAX 15X110GR,REVISAR,vetlife_15509745467779_oficial.jpg,Hypoallergenic Pork & Potato,965_03_vet-life-canine-hypo-pork@web.png,https://www.farmina.com/fotoprodotti/965_03_vet-life-canine-hypo-pork@web.png,0.17
15509745500547,FARMINA TREAT VET LIFE DOG HYPO CERDO ADULT MINI 15X60GR,REVISAR,vetlife_15509745500547_oficial.jpg,dental treat Hypoallergenic Pork & Potato mini,1099_49_vetlife-dental-treat-hypoallergenic-pork-mini.png,https://www.farmina.com/fotoprodotti/1099_49_vetlife-dental-treat-hypoallergenic-pork-mini.png,0.29
15509745598851,FARMINA TREAT VET LIFE DOG HYPO PESCADO ADULT MED/M 15X110GR,REVISAR,vetlife_15509745598851_oficial.jpg,Obesity Fish,966_34_vet-life-canine-obesity-fish@web.png,https://www.farmina.com/fotoprodotti/966_34_vet-life-canine-obesity-fish@web.png,0.2
15509745664387,FARMINA TREAT VET LIFE DOG HYPO PESCADO ADULT MINI 15X60GR,REVISAR,vetlife_15509745664387_oficial.jpg,dental treat Hypoallergenic Fish & Potato mini,1097_27_vetlife-dental-treat-hypoallergenic-fish-mini.png,https://www.farmina.com/fotoprodotti/1097_27_vetlife-dental-treat-hypoallergenic-fish-mini.png,0.29
15509745762691,FARMINA TREAT VET LIFE DOG JOINT ADULT MED/MAX 15X110GR,OK,vetlife_15509745762691_oficial.jpg,Joint,63_21_63_53_vet-life-canine-joint@web.png,https://www.farmina.com/fotoprodotti/63_21_63_53_vet-life-canine-joint@web.png,0.33
15509745828227,FARMINA TREAT VET LIFE DOG JOINT ADULT MINI 15X60GR,OK,vetlife_15509745828227_oficial.jpg,dental treat Joint mini,1105_55_vetlife-dental-treat-joint-mini.png,https://www.farmina.com/fotoprodotti/1105_55_vetlife-dental-treat-joint-mini.png,0.5
15509745860995,FARMINA TREAT VET LIFE DOG OBESITY ADULT MED/MAX 15X110GR,OK,vetlife_15509745860995_oficial.jpg,Obesity,70_33_70_12_vet-life-canine-obesity@web.png,https://www.farmina.com/fotoprodotti/70_33_70_12_vet-life-canine-obesity@web.png,0.33
15509745992067,FARMINA TREAT VET LIFE DOG OBESITY ADULT MINI 15X60GR,OK,vetlife_15509745992067_oficial.jpg,dental treat Obesity mini,1109_47_vetlife-dental-treat-obesity-mini.png,https://www.farmina.com/fotoprodotti/1109_47_vetlife-dental-treat-obesity-mini.png,0.5
